"County","State","Year","No. ofBEACHActBeaches","No. ofMonitoredBeaches","Percent ofTotalBeachesMonitored","TotalLengthof MonitoredBeaches(Mi)","No. ofTier 1Beaches","No. ofTier 1MonitoredBeaches","Percent ofTier 1BeachesMonitored","No. ofMonitoredBeacheswithActions","No. ofMonitoredBeacheswithoutActions","Percent ofMonitoredBeachesAffectedby aBeachAction","TotalNo.of BeachActions","No. of Actions Lessthan 1 Day Duration","Percent ofActionsLess than1 DayDuration","No. ofActions of1 DayDuration","Percent ofActions of1 DayDuration","No. ofActions of2 DayDuration","Percent ofActions of2 DayDuration","No. ofActions of3 - 7 DayDuration","Percent ofActions of3 - 7 DayDuration","No. ofActions of8 - 30 DayDuration","Percent  ofActions of8 - 30 DayDuration","No. ofActionsGreaterthan30 DayDuration","Percent ofActionsGreaterthan30 DayDuration","No. ofBeachDays(MonitoredBeaches)","No. ofDaysUndera BeachAction(MonitoredBeaches)","PercentDaysUnder aBeachAction(MonitoredBeaches)","No. ofDaysNot Undera BeachAction(MonitoredBeaches)","PercentDaysNot Under aBeachAction(MonitoredBeaches)"
"ACCOMACK","VA","2018","1","1","100","0","1","1","100","1","0","100","4","0","0","3","75","0","0","1","25","0","0","0","0","153","10","6.54","143","93.46"
"ACCOMACK","VA","2017","1","1","100","0","1","1","100","1","0","100","1","0","0","1","100","0","0","0","0","0","0","0","0","153","1",".65","152","99.35"
"AGUADA","PR","2018","1","1","100","0","1","1","100","1","0","100","4","0","0","1","25","0","0","2","50","1","25","0","0","364","33","9.07","331","90.93"
"AGUADA","PR","2017","1","1","100","0","1","1","100","1","0","100","4","0","0","0","0","0","0","2","50","2","50","0","0","364","28","7.69","336","92.31"
"AGUADILLA","PR","2018","1","1","100","0","1","1","100","1","0","100","3","0","0","0","0","0","0","1","33.33","2","66.67","0","0","364","35","9.62","329","90.38"
"AGUADILLA","PR","2017","1","1","100","0","1","1","100","1","0","100","4","0","0","1","25","0","0","1","25","2","50","0","0","364","45","12.36","319","87.64"
"ALAMEDA","CA","2018","3","3","100","2","3","3","100","2","1","66.67","20","0","0","1","5","4","20","3","15","9","45","3","15","1093","412","37.69","681","62.31"
"ALAMEDA","CA","2017","3","3","100","2","3","3","100","2","1","66.67","29","0","0","1","3.45","3","10.34","11","37.93","12","41.38","2","6.9","1093","534","48.86","559","51.14"
"ALCONA","MI","2018","7","2","28.57","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","252","0","0","252","100"
"ALCONA","MI","2017","7","2","28.57","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","252","0","0","252","100"
"ALGER","MI","2018","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ALGER","MI","2017","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ALLEGAN","MI","2018","6","5","83.33","3","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","535","0","0","535","100"
"ALLEGAN","MI","2017","6","5","83.33","3","0","0","0","2","3","40","2","0","0","2","100","0","0","0","0","0","0","0","0","535","2",".37","533","99.63"
"ALPENA","MI","2018","14","2","14.29","0","1","1","100","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","188","0","0","188","100"
"ALPENA","MI","2017","14","2","14.29","0","1","1","100","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","188","0","0","188","100"
"ANASCO","PR","2018","1","1","100","0","1","1","100","1","0","100","3","0","0","0","0","0","0","1","33.33","2","66.67","0","0","364","34","9.34","330","90.66"
"ANASCO","PR","2017","1","1","100","0","1","1","100","1","0","100","4","0","0","1","25","0","0","0","0","3","75","0","0","364","35","9.62","329","90.38"
"ANCHORAGE","AK","2018","1","1","100","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-252","0","0","-252","100"
"ANCHORAGE","AK","2017","1","1","100","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-252","0","0","-252","100"
"ANNE ARUNDEL","MD","2018","5","5","100","1","5","5","100","4","1","80","5","0","0","0","0","0","0","5","100","0","0","0","0","490","17","3.47","473","96.53"
"ANNE ARUNDEL","MD","2017","5","5","100","1","5","5","100","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","490","0","0","490","100"
"ANTRIM","MI","2018","16","4","25","1","0","0","0","1","3","25","2","0","0","2","100","0","0","0","0","0","0","0","0","296","2",".68","294","99.32"
"ANTRIM","MI","2017","16","4","25","1","0","0","0","1","3","25","1","0","0","1","100","0","0","0","0","0","0","0","0","296","1",".34","295","99.66"
"ARANSAS","TX","2018","9","1","11.11","1","1","1","100","1","0","100","17","0","0","5","29.41","9","52.94","3","17.65","0","0","0","0","364","37","10.16","327","89.84"
"ARANSAS","TX","2017","9","1","11.11","1","1","1","100","1","0","100","5","0","0","1","20","3","60","0","0","1","20","0","0","364","15","4.12","349","95.88"
"ARECIBO","PR","2018","1","1","100","0","1","1","100","1","0","100","8","0","0","0","0","0","0","3","37.5","5","62.5","0","0","364","121","33.24","243","66.76"
"ARECIBO","PR","2017","1","1","100","0","1","1","100","1","0","100","9","0","0","1","11.11","0","0","4","44.44","3","33.33","1","11.11","364","112","30.77","252","69.23"
"ARENAC","MI","2018","20","8","40","0","4","4","100","4","4","50","5","0","0","0","0","0","0","2","40","2","40","1","20","536","77","14.37","459","85.63"
"ARENAC","MI","2017","20","8","40","0","4","4","100","4","4","50","5","0","0","0","0","1","20","2","40","2","40","0","0","536","28","5.22","508","94.78"
"ARROYO","PR","2018","1","1","100","1","1","1","100","1","0","100","4","0","0","0","0","0","0","3","75","1","25","0","0","364","32","8.79","332","91.21"
"ARROYO","PR","2017","1","1","100","1","1","1","100","1","0","100","7","0","0","1","14.29","0","0","4","57.14","2","28.57","0","0","364","41","11.26","323","88.74"
"ASHLAND","WI","2018","8","3","37.5","0","0","0","0","3","0","100","21","0","0","0","0","2","9.52","11","52.38","7","33.33","1","4.76","294","153","52.04","141","47.96"
"ASHLAND","BR","2018","2","2","100","1","2","2","100","1","1","50","3","0","0","1","33.33","0","0","2","66.67","0","0","0","0","392","13","3.32","379","96.68"
"ASHLAND","WI","2017","8","3","37.5","0","0","0","0","3","0","100","22","0","0","7","31.82","5","22.73","10","45.45","0","0","0","0","294","60","20.41","234","79.59"
"ASHLAND","BR","2017","2","2","100","1","2","2","100","1","1","50","1","0","0","0","0","0","0","1","100","0","0","0","0","392","4","1.02","388","98.98"
"ASHTABULA","OH","2018","4","3","75","1","4","3","75","3","0","100","10","0","0","1","10","7","70","2","20","0","0","0","0","294","10","3.4","284","96.6"
"ASHTABULA","OH","2017","4","3","75","1","4","3","75","3","0","100","4","0","0","0","0","4","100","0","0","0","0","0","0","294","8","2.72","286","97.28"
"ATLANTIC","NJ","2018","86","48","55.81","3","47","47","100","20","28","41.67","25","0","0","25","100","0","0","0","0","0","0","0","0","6384","25",".39","6359","99.61"
"ATLANTIC","NJ","2017","86","48","55.81","3","47","47","100","12","36","25","24","0","0","24","100","0","0","0","0","0","0","0","0","6384","24",".38","6360","99.62"
"BALDWIN","AL","2018","20","20","100","22","8","8","100","5","15","25","11","0","0","2","18.18","0","0","9","81.82","0","0","0","0","3040","43","1.41","2997","98.59"
"BALDWIN","AL","2017","20","20","100","22","8","8","100","8","12","40","12","0","0","3","25","0","0","9","75","0","0","0","0","3040","42","1.38","2998","98.62"
"BALTIMORE","MD","2018","4","4","100","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","392","0","0","392","100"
"BALTIMORE","MD","2017","4","4","100","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","392","0","0","392","100"
"BARAGA","MI","2018","12","1","8.33","0","0","0","0","1","0","100","2","0","0","1","50","0","0","1","50","0","0","0","0","105","8","7.62","97","92.38"
"BARAGA","MI","2017","12","1","8.33","0","0","0","0","1","0","100","1","0","0","0","0","1","100","0","0","0","0","0","0","105","2","1.9","103","98.1"
"BARNSTABLE","MA","2018","188","188","100","43","0","0","0","15","173","7.98","20","0","0","7","35","3","15","6","30","4","20","0","0","18424","95",".52","18329","99.48"
"BARNSTABLE","MA","2017","188","188","100","43","0","0","0","8","180","4.26","8","0","0","5","62.5","1","12.5","1","12.5","1","12.5","0","0","18424","19",".1","18405","99.9"
"BAY","MI","2018","6","5","83.33","9","0","0","0","3","2","60","4","0","0","3","75","1","25","0","0","0","0","0","0","915","5",".55","910","99.45"
"BAY","FL","2018","16","10","62.5","36","10","10","100","5","5","50","12","0","0","0","0","0","0","6","50","6","50","0","0","2440","104","4.26","2336","95.74"
"BAY","MI","2017","6","5","83.33","9","0","0","0","4","1","80","10","0","0","1","10","2","20","6","60","1","10","0","0","915","50","5.46","865","94.54"
"BAY","FL","2017","16","10","62.5","36","10","10","100","5","5","50","17","0","0","0","0","0","0","13","76.47","4","23.53","0","0","2440","155","6.35","2285","93.65"
"BAYFIELD","WI","2018","19","11","57.89","5","0","0","0","11","0","100","29","0","0","5","17.24","14","48.28","10","34.48","0","0","0","0","1078","76","7.05","1002","92.95"
"BAYFIELD","WI","2017","19","11","57.89","5","0","0","0","4","7","36.36","5","0","0","2","40","1","20","2","40","0","0","0","0","1078","13","1.21","1065","98.79"
"BEAUFORT","NC","2018","10","10","100","4","2","2","100","2","8","20","3","0","0","0","0","0","0","0","0","2","66.67","1","33.33","2140","57","2.66","2083","97.34"
"BEAUFORT","SC","2018","3","3","100","21","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","459","0","0","459","100"
"BEAUFORT","NC","2017","10","10","100","4","2","2","100","3","7","30","3","0","0","2","66.67","0","0","0","0","0","0","1","33.33","2140","44","2.06","2096","97.94"
"BEAUFORT","SC","2017","3","3","100","21","0","0","0","1","2","33.33","1","0","0","1","100","0","0","0","0","0","0","0","0","459","1",".22","458","99.78"
"BENZIE","MI","2018","7","1","14.29","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103","0","0","103","100"
"BENZIE","MI","2017","7","1","14.29","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103","0","0","103","100"
"BERRIEN","MI","2018","21","13","61.9","3","1","1","100","3","10","23.08","5","0","0","5","100","0","0","0","0","0","0","0","0","1300","5",".38","1295","99.62"
"BERRIEN","MI","2017","21","13","61.9","3","1","1","100","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1300","0","0","1300","100"
"BRAZORIA","TX","2018","10","4","40","19","4","4","100","4","0","100","47","0","0","0","0","15","31.91","32","68.09","0","0","0","0","1456","126","8.65","1330","91.35"
"BRAZORIA","TX","2017","10","4","40","19","4","4","100","4","0","100","36","0","0","0","0","14","38.89","22","61.11","0","0","0","0","1456","94","6.46","1362","93.54"
"BREVARD","FL","2018","27","8","29.63","14","8","8","100","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1952","0","0","1952","100"
"BREVARD","FL","2017","27","8","29.63","14","8","8","100","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1952","0","0","1952","100"
"BRISTOL","RI","2018","3","3","100","0","3","3","100","2","1","66.67","2","0","0","2","100","0","0","0","0","0","0","0","0","289","2",".69","287","99.31"
"BRISTOL","MA","2018","27","27","100","7","0","0","0","3","24","11.11","5","0","0","0","0","2","40","3","60","0","0","0","0","2646","25",".94","2621","99.06"
"BRISTOL","RI","2017","3","3","100","0","3","3","100","3","0","100","6","0","0","2","33.33","3","50","1","16.67","0","0","0","0","289","12","4.15","277","95.85"
"BRISTOL","MA","2017","27","27","100","7","0","0","0","8","19","29.63","9","0","0","6","66.67","1","11.11","0","0","2","22.22","0","0","2646","45","1.7","2601","98.3"
"BRISTOL BAY","AK","2018","1","1","100","8","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-252","0","0","-252","100"
"BRISTOL BAY","AK","2017","1","1","100","8","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-252","0","0","-252","100"
"BRONX","NY","2018","10","10","100","1","10","10","100","9","1","90","100","0","0","28","28","71","71","1","1","0","0","0","0","1081","177","16.37","904","83.63"
"BRONX","NY","2017","10","10","100","1","10","10","100","10","0","100","58","0","0","5","8.62","20","34.48","21","36.21","7","12.07","5","8.62","1081","569","52.64","512","47.36"
"BROWARD","FL","2018","19","13","68.42","50","13","13","100","4","9","30.77","4","0","0","1","25","0","0","1","25","2","50","0","0","4612","35",".76","4577","99.24"
"BROWARD","FL","2017","19","13","68.42","50","13","13","100","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4612","0","0","4612","100"
"BROWN","WI","2018","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BROWN","WI","2017","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BRUNSWICK","NC","2018","38","38","100","54","35","35","100","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8132","0","0","8132","100"
"BRUNSWICK","NC","2017","38","38","100","54","35","35","100","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8132","0","0","8132","100"
"CABO ROJO","PR","2018","5","5","100","2","5","5","100","5","0","100","7","0","0","0","0","0","0","5","71.43","2","28.57","0","0","1820","58","3.19","1762","96.81"
"CABO ROJO","PR","2017","5","5","100","2","5","5","100","5","0","100","14","0","0","3","21.43","0","0","8","57.14","2","14.29","1","7.14","1820","104","5.71","1716","94.29"
"CALCASIEU","LA","2018","2","2","100","1","2","2","100","2","0","100","6","0","0","1","16.67","0","0","0","0","2","33.33","3","50","366","301","82.24","65","17.76"
"CALCASIEU","LA","2017","2","2","100","1","2","2","100","2","0","100","10","0","0","0","0","0","0","3","30","5","50","2","20","366","203","55.46","163","44.54"
"CALHOUN","TX","2018","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CALHOUN","TX","2017","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CALVERT","MD","2018","4","4","100","1","2","2","100","2","2","50","2","0","0","0","0","0","0","2","100","0","0","0","0","392","14","3.57","378","96.43"
"CALVERT","MD","2017","4","4","100","1","2","2","100","1","3","25","1","0","0","0","0","0","0","0","0","1","100","0","0","392","8","2.04","384","97.96"
"CAMDEN","GA","2018","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CAMDEN","GA","2017","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CAMERON","LA","2018","12","12","100","11","6","6","100","12","0","100","31","0","0","0","0","0","0","0","0","22","70.97","9","29.03","2196","753","34.29","1443","65.71"
"CAMERON","TX","2018","12","9","75","13","9","9","100","2","7","22.22","13","0","0","0","0","10","76.92","3","23.08","0","0","0","0","3276","41","1.25","3235","98.75"
"CAMERON","LA","2017","12","12","100","11","6","6","100","12","0","100","31","0","0","0","0","0","0","13","41.94","2","6.45","16","51.61","2196","933","42.49","1263","57.51"
"CAMERON","TX","2017","12","9","75","13","9","9","100","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3276","0","0","3276","100"
"CAPE MAY","NJ","2018","129","62","48.06","4","62","62","100","15","47","24.19","16","0","0","16","100","0","0","0","0","0","0","0","0","8246","16",".19","8230","99.81"
"CAPE MAY","NJ","2017","124","62","50","4","62","62","100","4","58","6.45","4","0","0","4","100","0","0","0","0","0","0","0","0","8246","4",".05","8242","99.95"
"CAROLINA","PR","2018","2","2","100","2","2","2","100","1","1","50","1","0","0","0","0","0","0","1","100","0","0","0","0","728","6",".82","722","99.18"
"CAROLINA","PR","2017","2","2","100","2","2","2","100","2","0","100","5","0","0","1","20","0","0","1","20","3","60","0","0","728","31","4.26","697","95.74"
"CARTERET","NC","2018","54","54","100","65","19","19","100","6","48","11.11","7","0","0","3","42.86","2","28.57","1","14.29","1","14.29","0","0","11556","24",".21","11532","99.79"
"CARTERET","NC","2017","54","54","100","65","19","19","100","1","53","1.85","2","0","0","0","0","0","0","0","0","2","100","0","0","11556","33",".29","11523","99.71"
"CAYUGA","NY","2018","2","2","100","2","2","2","100","1","1","50","1","0","0","0","0","1","100","0","0","0","0","0","0","179","2","1.12","177","98.88"
"CAYUGA","NY","2017","2","2","100","2","2","2","100","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","179","0","0","179","100"
"CECIL","MD","2018","1","1","100","0","1","1","100","1","0","100","2","0","0","0","0","0","0","1","50","1","50","0","0","98","21","21.43","77","78.57"
"CECIL","MD","2017","1","1","100","0","1","1","100","1","0","100","4","0","0","0","0","0","0","3","75","1","25","0","0","98","29","29.59","69","70.41"
"CHAMBERS","TX","2018","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CHAMBERS","TX","2017","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CHARLESTON","SC","2018","5","5","100","26","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","765","0","0","765","100"
"CHARLESTON","SC","2017","5","5","100","26","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","765","0","0","765","100"
"CHARLEVOIX","MI","2018","20","12","60","10","0","0","0","2","10","16.67","4","0","0","3","75","1","25","0","0","0","0","0","0","888","5",".56","883","99.44"
"CHARLEVOIX","MI","2017","20","12","60","10","0","0","0","1","11","8.33","2","0","0","2","100","0","0","0","0","0","0","0","0","888","2",".23","886","99.77"
"CHARLOTTE","FL","2018","9","6","66.67","11","6","6","100","2","4","33.33","2","0","0","0","0","0","0","1","50","1","50","0","0","2184","13",".6","2171","99.4"
"CHARLOTTE","FL","2017","9","6","66.67","11","6","6","100","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2184","0","0","2184","100"
"CHATHAM","GA","2018","13","9","69.23","12","5","5","100","3","6","33.33","4","0","0","0","0","1","25","2","50","0","0","1","25","3060","379","12.39","2685","87.75"
"CHATHAM","GA","2017","13","9","69.23","12","5","5","100","3","6","33.33","3","0","0","0","0","1","33.33","0","0","1","33.33","1","33.33","3060","375","12.25","2690","87.91"
"CHAUTAUQUA","NY","2018","8","8","100","2","2","2","100","5","3","62.5","30","0","0","18","60","8","26.67","4","13.33","0","0","0","0","616","46","7.47","570","92.53"
"CHAUTAUQUA","NY","2017","8","8","100","2","2","2","100","6","2","75","15","0","0","7","46.67","4","26.67","4","26.67","0","0","0","0","616","27","4.38","589","95.62"
"CHEBOYGAN","MI","2018","12","1","8.33","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92","0","0","92","100"
"CHEBOYGAN","MI","2017","12","1","8.33","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92","0","0","92","100"
"CHIPPEWA","MI","2018","26","5","19.23","0","2","2","100","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","552","0","0","552","100"
"CHIPPEWA","MI","2017","26","5","19.23","0","2","2","100","3","2","60","3","0","0","0","0","0","0","3","100","0","0","0","0","552","15","2.72","537","97.28"
"CITRUS","FL","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CITRUS","FL","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CLALLAM","MK","2018","12","5","41.67","6","5","5","100","1","4","20","1","0","0","0","0","0","0","1","100","0","0","0","0","1820","4",".22","1816","99.78"
"CLALLAM","WA","2018","73","3","4.11","4","3","3","100","1","2","33.33","1","0","0","0","0","0","0","1","100","0","0","0","0","315","7","2.22","308","97.78"
"CLALLAM","WA","2017","73","3","4.11","4","3","3","100","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","315","0","0","315","100"
"CLALLAM","MK","2017","12","5","41.67","6","5","5","100","2","3","40","4","0","0","0","0","0","0","4","100","0","0","0","0","1820","22","1.21","1798","98.79"
"CLATSOP","OR","2018","10","5","50","10","5","5","100","2","3","40","6","0","0","3","50","2","33.33","1","16.67","0","0","0","0","509","13","2.55","496","97.45"
"CLATSOP","OR","2017","10","5","50","10","5","5","100","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","509","0","0","509","100"
"COLLIER","FL","2018","56","10","17.86","11","10","10","100","7","3","70","8","0","0","0","0","8","100","0","0","0","0","0","0","3640","14",".38","3626","99.62"
"COLLIER","FL","2017","56","10","17.86","11","10","10","100","1","9","10","1","0","0","1","100","0","0","0","0","0","0","0","0","3640","1",".03","3639","99.97"
"COOK","MN","2018","22","12","54.55","13","0","0","0","1","11","8.33","1","0","0","0","0","0","0","1","100","0","0","0","0","1008","3",".3","1005","99.7"
"COOK","IL","2018","41","38","92.68","8","39","37","94.87","35","3","92.11","276","0","0","211","76.45","49","17.75","16","5.8","0","0","0","0","3817","365","9.56","3452","90.44"
"COOK","GP","2018","12","12","100","2","9","9","100","9","3","75","14","0","0","6","42.86","0","0","8","57.14","0","0","0","0","1452","52","3.58","1400","96.42"
"COOK","GP","2017","12","12","100","2","9","9","100","6","6","50","12","0","0","6","50","0","0","6","50","0","0","0","0","1452","46","3.17","1406","96.83"
"COOK","IL","2017","41","38","92.68","8","39","37","94.87","34","4","89.47","238","0","0","195","81.93","29","12.18","14","5.88","0","0","0","0","3817","283","7.41","3534","92.59"
"COOK","MN","2017","22","12","54.55","13","0","0","0","1","11","8.33","3","0","0","0","0","3","100","0","0","0","0","0","0","1008","6",".6","1002","99.4"
"COOS","OR","2018","7","1","14.29","1","1","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","102","100"
"COOS","OR","2017","7","1","14.29","1","1","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","102","100"
"CRAVEN","NC","2018","8","8","100","3","1","1","100","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1712","0","0","1712","100"
"CRAVEN","NC","2017","8","8","100","3","1","1","100","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1712","0","0","1712","100"
"CULEBRA","PR","2018","1","1","100","1","1","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365","0","0","365","100"
"CULEBRA","PR","2017","1","1","100","1","1","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365","0","0","365","100"
"CUMBERLAND","NJ","2018","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CUMBERLAND","ME","2018","20","12","60","5","11","11","100","8","4","66.67","29","0","0","13","44.83","12","41.38","4","13.79","0","0","0","0","1176","51","4.34","1125","95.66"
"CUMBERLAND","ME","2017","10","9","90","4","8","8","100","5","4","55.56","8","0","0","5","62.5","3","37.5","0","0","0","0","0","0","882","11","1.25","871","98.75"
"CURRITUCK","NC","2018","5","5","100","22","5","5","100","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1070","0","0","1070","100"
"CURRITUCK","NC","2017","5","5","100","22","5","5","100","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1070","0","0","1070","100"
